not enough replicas to describe the ground state at A_q=1.333979933110368 and w_d=0.013333333333333334, leakage=0.215
not enough replicas to describe the first excited state at A_q=1.333979933110368 and w_d=0.013333333333333334, leakage=0.215
not enough replicas to describe the ground state at A_q=1.3429933110367895 and w_d=0.013333333333333334, leakage=0.222
not enough replicas to describe the first excited state at A_q=1.3429933110367895 and w_d=0.013333333333333334, leakage=0.222
not enough replicas to describe the ground state at A_q=1.352006688963211 and w_d=0.013333333333333334, leakage=0.228
not enough replicas to describe the first excited state at A_q=1.352006688963211 and w_d=0.013333333333333334, leakage=0.228
not enough replicas to describe the ground state at A_q=1.3610200668896324 and w_d=0.013333333333333334, leakage=0.232
not enough replicas to describe the first excited state at A_q=1.3610200668896324 and w_d=0.013333333333333334, leakage=0.232
not enough replicas to describe the ground state at A_q=1.3700334448160538 and w_d=0.013333333333333334, leakage=0.235
not enough replicas to describe the first excited state at A_q=1.3700334448160538 and w_d=0.013333333333333334, leakage=0.235
not enough replicas to describe the ground state at A_q=1.379046822742475 and w_d=0.013333333333333334, leakage=0.237
not enough replicas to describe the first excited state at A_q=1.379046822742475 and w_d=0.013333333333333334, leakage=0.237
not enough replicas to describe the ground state at A_q=1.3880602006688965 and w_d=0.013333333333333334, leakage=0.238
not enough replicas to describe the first excited state at A_q=1.3880602006688965 and w_d=0.013333333333333334, leakage=0.238
not enough replicas to describe the ground state at A_q=1.3970735785953179 and w_d=0.013333333333333334, leakage=0.238
not enough replicas to describe the first excited state at A_q=1.3970735785953179 and w_d=0.013333333333333334, leakage=0.238
not enough replicas to describe the ground state at A_q=1.4060869565217393 and w_d=0.013333333333333334, leakage=0.238
not enough replicas to describe the first excited state at A_q=1.4060869565217393 and w_d=0.013333333333333334, leakage=0.238
not enough replicas to describe the ground state at A_q=1.4151003344481607 and w_d=0.013333333333333334, leakage=0.236
not enough replicas to describe the first excited state at A_q=1.4151003344481607 and w_d=0.013333333333333334, leakage=0.236
not enough replicas to describe the ground state at A_q=1.4241137123745822 and w_d=0.013333333333333334, leakage=0.235
not enough replicas to describe the first excited state at A_q=1.4241137123745822 and w_d=0.013333333333333334, leakage=0.235
not enough replicas to describe the ground state at A_q=1.4331270903010036 and w_d=0.013333333333333334, leakage=0.233
not enough replicas to describe the first excited state at A_q=1.4331270903010036 and w_d=0.013333333333333334, leakage=0.233
not enough replicas to describe the ground state at A_q=1.442140468227425 and w_d=0.013333333333333334, leakage=0.231
not enough replicas to describe the first excited state at A_q=1.442140468227425 and w_d=0.013333333333333334, leakage=0.231
not enough replicas to describe the ground state at A_q=1.4511538461538465 and w_d=0.013333333333333334, leakage=0.228
not enough replicas to describe the first excited state at A_q=1.4511538461538465 and w_d=0.013333333333333334, leakage=0.228
not enough replicas to describe the ground state at A_q=1.460167224080268 and w_d=0.013333333333333334, leakage=0.226
not enough replicas to describe the first excited state at A_q=1.460167224080268 and w_d=0.013333333333333334, leakage=0.226
not enough replicas to describe the ground state at A_q=1.469180602006689 and w_d=0.013333333333333334, leakage=0.223
not enough replicas to describe the first excited state at A_q=1.469180602006689 and w_d=0.013333333333333334, leakage=0.223
not enough replicas to describe the ground state at A_q=1.4781939799331105 and w_d=0.013333333333333334, leakage=0.221
not enough replicas to describe the first excited state at A_q=1.4781939799331105 and w_d=0.013333333333333334, leakage=0.221
not enough replicas to describe the ground state at A_q=1.487207357859532 and w_d=0.013333333333333334, leakage=0.218
not enough replicas to describe the first excited state at A_q=1.487207357859532 and w_d=0.013333333333333334, leakage=0.218
not enough replicas to describe the ground state at A_q=1.4962207357859534 and w_d=0.013333333333333334, leakage=0.216
not enough replicas to describe the first excited state at A_q=1.4962207357859534 and w_d=0.013333333333333334, leakage=0.216
not enough replicas to describe the ground state at A_q=1.5052341137123748 and w_d=0.013333333333333334, leakage=0.214
not enough replicas to describe the first excited state at A_q=1.5052341137123748 and w_d=0.013333333333333334, leakage=0.214
not enough replicas to describe the ground state at A_q=1.5142474916387962 and w_d=0.013333333333333334, leakage=0.211
not enough replicas to describe the first excited state at A_q=1.5142474916387962 and w_d=0.013333333333333334, leakage=0.211
not enough replicas to describe the ground state at A_q=1.5232608695652177 and w_d=0.013333333333333334, leakage=0.209
not enough replicas to describe the first excited state at A_q=1.5232608695652177 and w_d=0.013333333333333334, leakage=0.209
not enough replicas to describe the ground state at A_q=1.532274247491639 and w_d=0.013333333333333334, leakage=0.207
not enough replicas to describe the first excited state at A_q=1.532274247491639 and w_d=0.013333333333333334, leakage=0.207
not enough replicas to describe the ground state at A_q=1.5412876254180605 and w_d=0.013333333333333334, leakage=0.205
not enough replicas to describe the first excited state at A_q=1.5412876254180605 and w_d=0.013333333333333334, leakage=0.205
not enough replicas to describe the ground state at A_q=1.550301003344482 and w_d=0.013333333333333334, leakage=0.203
not enough replicas to describe the first excited state at A_q=1.550301003344482 and w_d=0.013333333333333334, leakage=0.203
not enough replicas to describe the ground state at A_q=1.5593143812709032 and w_d=0.013333333333333334, leakage=0.202
not enough replicas to describe the first excited state at A_q=1.5593143812709032 and w_d=0.013333333333333334, leakage=0.202
not enough replicas to describe the ground state at A_q=1.5683277591973246 and w_d=0.013333333333333334, leakage=0.2
not enough replicas to describe the first excited state at A_q=1.5683277591973246 and w_d=0.013333333333333334, leakage=0.2
not enough replicas to describe the ground state at A_q=1.577341137123746 and w_d=0.013333333333333334, leakage=0.199
not enough replicas to describe the first excited state at A_q=1.577341137123746 and w_d=0.013333333333333334, leakage=0.199
not enough replicas to describe the ground state at A_q=1.5863545150501674 and w_d=0.013333333333333334, leakage=0.197
not enough replicas to describe the first excited state at A_q=1.5863545150501674 and w_d=0.013333333333333334, leakage=0.197
not enough replicas to describe the ground state at A_q=1.5953678929765889 and w_d=0.013333333333333334, leakage=0.196
not enough replicas to describe the first excited state at A_q=1.5953678929765889 and w_d=0.013333333333333334, leakage=0.196
not enough replicas to describe the ground state at A_q=1.6043812709030103 and w_d=0.013333333333333334, leakage=0.194
not enough replicas to describe the first excited state at A_q=1.6043812709030103 and w_d=0.013333333333333334, leakage=0.194
not enough replicas to describe the ground state at A_q=1.6133946488294317 and w_d=0.013333333333333334, leakage=0.193
not enough replicas to describe the first excited state at A_q=1.6133946488294317 and w_d=0.013333333333333334, leakage=0.193
not enough replicas to describe the ground state at A_q=1.6224080267558532 and w_d=0.013333333333333334, leakage=0.192
not enough replicas to describe the first excited state at A_q=1.6224080267558532 and w_d=0.013333333333333334, leakage=0.192
not enough replicas to describe the ground state at A_q=1.6314214046822746 and w_d=0.013333333333333334, leakage=0.191
not enough replicas to describe the first excited state at A_q=1.6314214046822746 and w_d=0.013333333333333334, leakage=0.191
not enough replicas to describe the ground state at A_q=1.640434782608696 and w_d=0.013333333333333334, leakage=0.19
not enough replicas to describe the first excited state at A_q=1.640434782608696 and w_d=0.013333333333333334, leakage=0.19
not enough replicas to describe the ground state at A_q=1.6494481605351172 and w_d=0.013333333333333334, leakage=0.189
not enough replicas to describe the first excited state at A_q=1.6494481605351172 and w_d=0.013333333333333334, leakage=0.189
not enough replicas to describe the ground state at A_q=1.6584615384615387 and w_d=0.013333333333333334, leakage=0.188
not enough replicas to describe the first excited state at A_q=1.6584615384615387 and w_d=0.013333333333333334, leakage=0.188
not enough replicas to describe the ground state at A_q=1.66747491638796 and w_d=0.013333333333333334, leakage=0.187
not enough replicas to describe the first excited state at A_q=1.66747491638796 and w_d=0.013333333333333334, leakage=0.187
not enough replicas to describe the ground state at A_q=1.6764882943143815 and w_d=0.013333333333333334, leakage=0.187
not enough replicas to describe the first excited state at A_q=1.6764882943143815 and w_d=0.013333333333333334, leakage=0.187
not enough replicas to describe the ground state at A_q=1.685501672240803 and w_d=0.013333333333333334, leakage=0.186
not enough replicas to describe the first excited state at A_q=1.685501672240803 and w_d=0.013333333333333334, leakage=0.186
not enough replicas to describe the ground state at A_q=1.6945150501672244 and w_d=0.013333333333333334, leakage=0.185
not enough replicas to describe the first excited state at A_q=1.6945150501672244 and w_d=0.013333333333333334, leakage=0.185
not enough replicas to describe the ground state at A_q=1.7035284280936458 and w_d=0.013333333333333334, leakage=0.185
not enough replicas to describe the first excited state at A_q=1.7035284280936458 and w_d=0.013333333333333334, leakage=0.185
not enough replicas to describe the ground state at A_q=1.7125418060200672 and w_d=0.013333333333333334, leakage=0.184
not enough replicas to describe the first excited state at A_q=1.7125418060200672 and w_d=0.013333333333333334, leakage=0.184
not enough replicas to describe the ground state at A_q=1.7215551839464887 and w_d=0.013333333333333334, leakage=0.184
not enough replicas to describe the first excited state at A_q=1.7215551839464887 and w_d=0.013333333333333334, leakage=0.184
not enough replicas to describe the ground state at A_q=1.7305685618729099 and w_d=0.013333333333333334, leakage=0.183
not enough replicas to describe the first excited state at A_q=1.7305685618729099 and w_d=0.013333333333333334, leakage=0.183
not enough replicas to describe the ground state at A_q=1.7395819397993313 and w_d=0.013333333333333334, leakage=0.183
not enough replicas to describe the first excited state at A_q=1.7395819397993313 and w_d=0.013333333333333334, leakage=0.183
not enough replicas to describe the ground state at A_q=1.7485953177257527 and w_d=0.013333333333333334, leakage=0.182
not enough replicas to describe the first excited state at A_q=1.7485953177257527 and w_d=0.013333333333333334, leakage=0.182
not enough replicas to describe the ground state at A_q=1.7576086956521741 and w_d=0.013333333333333334, leakage=0.182
not enough replicas to describe the first excited state at A_q=1.7576086956521741 and w_d=0.013333333333333334, leakage=0.182
